BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
FRESHBUS,Electric A/C Seater (2+2),12:45,19:40,4.7,₹300,6h 55m,9 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:20,4.6,₹449,7h 15m,25 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:35,05:25,4.7,₹467,6h 50m,33 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,AC Sleeper (2+1),00:20,06:45,4.1,₹569,6h 25m,24 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:20,06:10,4.6,₹439,6h 50m,28 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,06:15,4.6,₹469,6h 45m,11 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:40,06:10,4.5,₹419,6h 30m,35 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
Sai RK Travels,Non A/C Seater / Sleeper (2+1),22:55,04:35,3.5,₹449,5h 40m,17 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),23:59,06:45,4.5,₹467,6h 46m,40 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),00:10,06:40,4.6,₹419,6h 30m,27 Seats,Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
FRESHBUS,Electric A/C Seater (2+2),22:50,05:20,4.6,₹485,6h 30m,26 Seats,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,Electric A/C Seater (2+2),23:25,06:05,4.6,₹368,6h 40m,39 Seats,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
FRESHBUS,Electric A/C Seater (2+2),21:50,04:20,4.6,₹377,6h 30m,33 Seats,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,05:40,4.3,₹439,6h 55m,29 Seats,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:30,4.6,₹459,6h 45m,25 Seats,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
