BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
Bedi Travels,Volvo A/C Semi Sleeper (2+2),23:00,08:00,4.7,₹508,9h,10 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),23:30,08:00,4.5,₹589,8h 30m,9 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),23:25,07:45,4.5,₹549,8h 20m,18 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Laxmi holidays,Scania Multi-Axle AC Semi Sleeper (2+2),22:30,07:20,4.5,₹720,8h 50m,11 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),22:55,08:30,4.5,₹669,9h 35m,17 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HIM TOURS,Volvo A/C Semi Sleeper (2+2),22:45,06:45,4.7,"₹1,542",8h,41 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Zingbus Plus,Bharat Benz A/C Semi Sleeper (2+2),23:30,08:15,4.2,₹662,8h 45m,5 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
FlixBus,Bharat Benz A/C Semi Sleeper (2+2),22:00,07:40,4.4,₹568,9h 40m,15 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Vacation Express,Volvo 9600 A/C Semi Sleeper (2+2),23:15,07:35,4.3,₹517,8h 20m,18 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
Ram Dalal Holidays Pvt Ltd,Mercedes Multi-Axle Semi Sleeper (2+2),23:00,07:40,,₹688,8h 40m,17 Seats,Delhi to Shimla,https://www.redbus.in/bus-tickets/delhi-to-shimla
HRTC - 401670,Ordinary 3+2 Non AC Seater,18:00,22:00,3.9,₹335,4h,28 Seats,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 1549,Ordinary 3+2 Non AC Seater,18:15,01:00,4.2,₹390,6h 45m,37 Seats,Chandigarh to Hamirpur (Himachal Pradesh),https://www.redbus.in/bus-tickets/chandigarh-to-hamirpur-himachal-pradesh
HRTC - 15,Volvo A/C Seater (2+2),20:00,00:10,5,₹671,4h 10m,31 Seats,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Laxmi holidays,Volvo A/C Semi Sleeper (2+2),20:20,00:30,4.2,₹579,4h 10m,5 Seats,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),21:15,01:20,4.5,₹599,4h 5m,15 Seats,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Northern Travels,Volvo A/C Semi Sleeper (2+2),21:45,01:30,3.2,₹580,3h 45m,14 Seats,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
Ram Dalal Holidays Pvt Ltd,Volvo A/C Semi Sleeper (2+2),22:00,02:20,5,₹599,4h 20m,8 Seats,Hamirpur (Himachal Pradesh) to Chandigarh,https://www.redbus.in/bus-tickets/hamirpur-himachal-pradesh-to-chandigarh
