BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
MMK Travels,A/C Seater / Sleeper (2+1),22:30,07:30,4.4,₹700,9h,12 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tours & Travels,A/C Sleeper (2+1),21:15,05:45,4.5,₹899,8h 30m,11 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SAAM BUS,VE A/C Sleeper (2+1),21:45,06:45,4.1,₹850,9h,8 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Suraj Holidays,NON A/C Seater/ Sleeper (2+1),20:30,06:00,2.8,₹600,9h 30m,9 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),22:15,06:30,4,₹699,8h 15m,10 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,09:00,3.8,₹799,10h,25 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),21:30,06:00,4,₹599,8h 30m,11 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
DA Transports,A/C Sleeper (2+1),21:45,06:55,3.5,₹719,9h 10m,17 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Silver Line Travels,NON A/C Semi Sleeper / Sleeper (2+1),22:15,06:45,3.5,₹700,8h 30m,22 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:15,06:10,3.7,₹699,7h 55m,17 Seats,Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,3.1,₹648,3h 54m,19 Seats,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,3.8,₹370,4h 30m,32 Seats,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
