BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
Jakhar Travels,A/C Sleeper (2+1),16:20,19:30,4,₹657,3h 10m,20 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),17:00,22:55,3.6,₹330,5h 55m,33 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jakhar Travels,NON A/C Seater/ Sleeper (2+1),18:00,23:15,4,₹450,5h 15m,23 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
bhaiya travels,A/C Sleeper (2+1),18:30,23:00,3.8,₹580,4h 30m,20 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,23:40,3.7,₹495,5h 10m,37 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
V k jain travels,A/C Sleeper (2+1),18:35,23:35,3.1,₹580,5h,30 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater/ Sleeper (2+1),19:00,23:36,3.6,₹330,4h 36m,37 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,3.6,₹330,4h 50m,42 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,5,₹714,4h 20m,37 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Jain travels regd,AC Sleeper (2+1),20:00,00:30,3.6,₹700,4h 30m,29 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
Chandra Raj Travels,A/C Seater / Sleeper (2+1),20:00,00:15,3.3,₹500,4h 15m,30 Seats,Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer
