BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
FlixBus,A/C Semi Sleeper (2+2),23:35,04:35,4.5,₹508,5h,15 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
FlixBus,A/C Semi Sleeper (2+2),17:15,22:25,4.5,₹420,5h 10m,12 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
NueGo,Electric A/C Semi Sleeper (2+2),18:30,00:10,4.6,₹457,5h 40m,4 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
RS Yadav Smart Bus,VE A/C Seater / Sleeper (2+1),21:40,04:20,3.9,₹750,6h 40m,24 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
NueGo,Electric A/C Seater (2+2),23:45,05:25,3.7,₹364,5h 40m,20 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira Transport,A/C Sleeper (2+1),20:40,03:30,4.3,₹494,6h 50m,17 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:30,3.8,₹339,5h 31m,34 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:00,2.9,₹359,6h,19 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:30,04:00,4.4,₹427,6h 30m,13 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
OurBus India Limited,VE A/C Sleeper (2+1),19:00,00:40,5,₹600,5h 40m,17 Seats,Delhi to Bareilly (Uttar Pradesh),https://www.redbus.in/bus-tickets/delhi-to-bareilly
