BusName,BusType,StartTime,EndTime,Rating,Price,TotalDuration,SeatsAvailable,RouteName,Links
SBSTC-KOLKATA-DIGHA 23:30 (DIG DEPOT) - KOLKATA-N/S-D/23-00,Express(Non AC Seater),23:30,04:29,3.7,₹155,4h 59m,6 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04:30,4.5,₹349,5h,20 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Express Line,VE A/C Seater (2+2),23:45,04:45,4.3,₹299,5h,24 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Lokenath Bus Service,Benz A/C Seater (2+2),23:45,05:00,4.5,₹299,5h 15m,23 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Maa Chandi Travels,A/C Seater / Sleeper (2+2),22:00,05:30,4.1,₹438,7h 30m,15 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Raipur Cruiser,Volvo 9600 Multi-Axle A/C Seater (2+2),23:30,04:30,4.5,₹297,5h,11 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
SANTOSH BUS SERVICE,A/C Seater / Sleeper (2+2),23:59,05:05,4.2,₹524,5h 6m,47 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Raipur Cruiser,Volvo 9600 Multi-Axle A/C Seater (2+2),23:55,05:00,4.4,₹300,5h 5m,33 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Mayuri Express,A/C Seater (2+2),23:15,04:00,4.1,₹629,4h 45m,29 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Sagufta Travels(Maa chandi),A/C Seater / Sleeper (2+2),23:57,05:10,3.9,₹415,5h 13m,35 Seats,Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
WBTC (CTC) BARASAT-DIGHA via Esplanade - 24|22:50,Non AC Seater (2+3),22:50,02:35,3.3,₹145,3h 45m,6 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,02:30,3.6,₹646,5h 15m,2 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,2.6,₹370,5h 25m,20 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04:15,2.4,₹370,4h 40m,14 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),17:50,23:00,2.7,₹285,5h 10m,31 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),21:00,03:00,2.6,₹285,6h,51 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Satya Paribahan,A/C Seater (2+3),23:00,03:45,3.5,₹420,4h 45m,31 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
City Express (Shinjini),AC Seater (2+3),22:45,04:10,2.8,₹370,5h 25m,26 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:00,04:00,4.2,₹650,5h,18 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Parisheba(Santosh),A/C Seater Push Back (2+3),23:30,04:30,2.7,₹370,5h,29 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan,A/C Seater / Sleeper (2+1),22:20,03:30,3.4,₹490,5h 10m,47 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Satya Paribahan,A/C Seater (2+3),23:30,03:40,2.3,₹420,4h 10m,30 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Parameswar Travels,A/C Seater Push Back (2+3),20:00,01:35,2.3,₹289,5h 35m,20 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Paribahan,A/C Seater (2+3),23:30,04:00,2,₹370,4h 30m,45 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Aradhana Travel,A/C Seater / Sleeper (2+1),19:35,23:59,2.1,₹500,4h 24m,9 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Snemita Parisheba,AC Seater (2+3),18:00,22:30,1.7,₹470,4h 30m,41 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Satya Paribahan,A/C Seater (2+3),18:20,23:00,1.8,₹420,4h 40m,61 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Arunita Paribahan,A/C Seater (2+3),23:35,04:30,1.4,₹370,4h 55m,21 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Aradhana Bus Service,Non AC Seater (2+3),16:50,22:30,1.9,₹350,5h 40m,52 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
Aradhana Travel,Non AC Seater (2+3),21:45,03:25,1.3,₹500,5h 40m,10 Seats,Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata
WBTC (CTC) BARASAT-DIGHA via Esplanade - 24|22:50,Non AC Seater (2+3),22:50,04:05,3.3,₹165,5h 15m,6 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,3.5,₹646,6h 20m,2 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Satya Paribahan,A/C Seater (2+3),23:00,05:10,3.4,₹420,6h 10m,31 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Bus Service,Non AC Seater (2+3),16:50,23:30,2.2,₹350,6h 40m,52 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Travel,Non AC Seater (2+3),21:45,04:40,2.3,₹500,6h 55m,6 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Bus Service,A/C Seater / Sleeper (2+2),23:00,04:55,2.2,₹650,5h 55m,18 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Aradhana Travel,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:45,05:10,2.3,₹850,5h 25m,30 Seats,Digha to Barasat (West Bengal),https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),16:45,20:40,4.3,₹486,3h 55m,17 Seats,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),16:55,20:55,3.9,₹486,4h,26 Seats,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Greenline (Karunamoyee),Volvo A/C B11R Multi Axle Semi Sleeper (2+2),17:30,21:20,4.2,₹486,3h 50m,5 Seats,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),18:00,21:45,3.7,₹486,3h 45m,16 Seats,Durgapur (West Bengal) to Kolkata,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Lokenath Bus Service,Benz A/C Seater (2+2),23:45,05:00,3.8,₹299,5h 15m,24 Seats,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
SANTOSH BUS SERVICE,A/C Seater / Sleeper (2+2),22:35,05:30,2.5,₹525,6h 55m,38 Seats,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
Sethu Express,A/C Seater / Sleeper (2+1),23:55,04:40,,₹539,4h 45m,2 Seats,Barasat (West Bengal) to Digha,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
Express Line (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),16:45,19:45,4.7,₹486,3h,14 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),17:00,20:00,4.4,₹486,3h,31 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),17:05,20:40,4,₹486,3h 35m,20 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Express Line,Volvo A/C Seater (2+2),17:20,21:20,4.2,₹486,4h,42 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:30,21:30,4.2,₹486,4h,29 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline,Volvo A/C Seater (2+2),18:05,22:05,4.6,₹486,4h,33 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline,Volvo 9600 A/C Seater/Sleeper (2+1),20:00,23:58,4.1,₹600,3h 58m,27 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Aitiana Airwings,A/C Seater/Sleeper (2+1),20:30,00:20,4,₹650,3h 50m,23 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Maharani Express,NON A/C Seater / Sleeper (2+2),17:00,20:30,2,₹675,3h 30m,10 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),18:00,21:30,2.9,₹450,3h 30m,42 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,23:00,2.5,₹500,4h 30m,54 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,01:30,,₹675,4h 25m,15 Seats,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
