RouteNmae,Links
Durgapur to Calcutta,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Haldia to Calcutta,https://www.redbus.in/bus-tickets/haldia-to-kolkata
Kolkata to Haldia,https://www.redbus.in/bus-tickets/kolkata-to-haldia
Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Kolkata to Arambagh (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal
Midnapore to Kolkata,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha
Digha to Calcutta,https://www.redbus.in/bus-tickets/digha-to-kolkata
Kolkata to Bankura,https://www.redbus.in/bus-tickets/kolkata-to-bankura
